,Ilp4,ImpE2,peb,ImpL2,knrl,Ance,cnc,trn,ftz,Ama
912,2365,2150,2189,2439,2446,2229,1796,2312,2380,2477
913,2728,2954,3024,3039,2860,2808,2997,2967,2986,3005
914,2829,2984,2975,2764,3009,2945,67,3011,2978,2947
915,1905,2236,2095,1975,2077,1876,2039,1878,1959,1755
916,2365,2312,2797,2214,2303,2783,2250,2150,1738,1767
917,1455,913,1063,756,1057,1344,735,1243,586,647
918,690,1,26,970,923,888,12,590,778,617
919,2672,2741,2819,2804,2749,2747,2676,2665,2686,2707
920,96,55,46,67,83,59,72,110,1334,1264
921,2077,2122,2052,2046,2148,2162,2365,2000,2298,2360
922,2672,2728,2954,2656,2707,3003,2808,2676,2747,2997
923,2077,2052,2122,2281,1975,2365,2236,2095,2397,2046
924,2671,2711,2593,2910,2685,2540,2667,2755,2793,2797
925,1455,1447,1334,1264,1392,1541,1450,1539,1570,913
926,1455,1541,1608,1392,1447,1549,1382,1189,2354,1122
927,2281,2222,2439,2446,2236,2095,2365,2077,2288,2343
928,2439,2446,2365,2477,2397,2312,2472,2481,2380,2574
929,1455,853,1304,1447,1450,1539,1570,913,1063,1122
930,85,40,21,114,50,140,38,55,46,82
931,2077,2298,2360,2250,2026,2439,2446,2365,2477,2122
932,2250,2026,2070,2086,2174,2298,2439,2446,2150,2360
933,2728,2772,2672,2954,2777,3039,2623,2656,2709,2661
934,2077,2122,2236,2095,2052,2046,2162,2000,1975,2298
935,1455,1541,1608,1549,1392,1683,1546,1447,1843,1749
936,85,40,5,21,28,2354,98,114,50,38
937,2281,1975,2052,2236,2095,1905,2365,2077,2090,2288
938,2439,2446,2365,2477,1796,2397,2472,2481,2312,2380
939,1455,913,1063,756,140,1447,1334,1264,1057,1122
940,2439,2446,2477,2365,2818,1796,2472,2481,2397,2312
941,2728,2656,2954,2772,2672,2872,2680,2644,2777,2709
942,617,756,913,1063,778,1057,672,747,837,735
943,1455,913,1063,140,756,1447,1057,1334,1344,1243
944,2222,2236,2281,2164,2439,2446,2472,2481,2397,2339
945,2281,1905,2236,2095,1975,2365,2077,2288,1876,2343
946,913,1063,756,1057,853,1304,1447,735,586,647
947,1455,853,1304,1447,1392,1541,1608,2354,1122,1450
948,1455,1541,1608,1549,1392,913,1063,756,1057,1382
949,1905,2236,2095,1975,2077,2281,2039,1878,1959,1755
950,2281,1975,2236,2095,2365,2077,2052,1905,2288,2343
951,2472,2481,2309,2400,2439,2446,1763,2250,2312,2360
952,2439,2446,2477,2365,2472,2481,2397,2312,2380,1796
953,1455,913,1063,756,1447,1334,1057,1264,735,586
954,2077,2122,2365,2281,2052,2236,2095,2397,2312,2380
955,2671,2711,2540,2770,2819,2776,2593,2339,11,2754
956,2365,2397,2312,2380,2439,2446,2477,2339,2358,2393
957,2281,1975,2339,2222,2439,2446,2236,2414,2095,2077
958,1455,1189,1122,1236,1392,1541,1334,1608,1264,1447
959,1796,1654,2156,2150,2189,2439,2446,1634,1739,1742
960,2365,2312,2214,2303,2309,2400,1975,1823,1854,1938
961,1455,1447,1304,853,1392,1541,1608,1122,1382,1189
962,2439,2446,3039,2477,2365,2751,3007,2134,3038,2232
963,2222,2077,2236,2095,2281,2250,2026,2122,1975,2439
964,2365,2312,2380,2358,2393,2309,2400,2349,2441,2439
965,1455,1447,1122,913,1063,1334,1264,756,1392,1057
966,2772,3017,2689,2777,2763,2910,2688,2829,2764,2992
967,2281,2360,2222,2343,2236,2970,2472,2481,2649,2761
968,2281,2236,2095,2077,2365,2288,2343,2164,2397,2122
969,2365,2312,2358,2393,2309,2400,2260,2268,2288,2397
970,1975,2438,1763,1876,1878,1959,2339,2150,2333,2189
971,853,1304,1447,38,1455,1450,1539,1570,875,1171
972,1455,1447,1392,1541,1608,1122,1546,1332,1382,1236
973,1122,1455,1334,1264,1189,913,1063,756,1043,778
974,1975,2046,2000,2077,2281,2438,2026,2236,2095,1876
975,1122,1334,1264,913,1063,1455,1261,1397,1189,756
976,756,913,1063,794,1057,735,586,647,1334,830
977,1455,913,1063,756,1057,735,586,647,830,988
978,1455,1304,853,1447,875,1377,1392,41,1541,1608
979,1455,1189,1236,1334,1541,1122,1264,1608,1132,913
980,2365,2229,2312,2380,2298,2360,2303,2269,2214,2358
981,1905,2236,2095,1975,2077,2222,1876,2039,1878,1959
982,617,913,1063,756,1057,747,837,735,586,647
983,1905,2236,2095,1975,2077,1876,2039,1878,1959,1755
984,2222,2236,1905,2095,1975,2077,1876,2039,1878,1959
985,2439,2446,2477,2365,1796,2472,2481,2312,2380,2378
986,690,756,970,617,913,1063,1188,672,814,794
987,2954,3003,2840,2848,2747,1796,3034,2966,2997,2967
988,2954,3024,2728,3039,3003,2808,2997,2967,2966,3033
989,1975,1876,1878,1959,1823,1854,1938,2052,2046,2000
990,3033,3022,3021,2954,3035,2995,2992,2910,3024,3031
991,1455,1447,1392,1541,1608,1122,1382,1189,1501,1549
992,2439,2446,2477,2365,2472,2481,2312,2380,2378,1796
993,46,55,40,28,3033,33,90,5,21,19
994,1455,1447,1334,1264,913,1063,1344,756,1392,1243
995,2439,2446,2477,2365,2472,2481,2312,2380,2232,2378
996,2365,2312,2358,2393,2309,2400,2260,2268,2288,2397
997,2365,2074,1367,2734,2312,2250,1767,1738,2823,2019
998,2150,2189,2026,2439,2446,2365,1980,2016,2111,2070
999,2077,2122,2046,2162,2000,2052,2298,2148,2182,2202
1000,1455,1447,1392,1541,1608,1122,1382,1189,1683,1549
1001,2954,3003,2848,2997,2967,3024,2840,2966,2816,2872
1002,55,46,96,67,40,83,59,72,110,2354
1003,1699,2105,1871,1763,2214,2303,2309,2400,1904,1911
1004,2365,2150,2189,2439,2446,2250,2312,2050,1738,1767
1005,1455,1447,1749,1784,1541,1608,1122,1392,1905,1683
1006,3024,2728,3039,2860,2623,2954,2986,3005,3010,3022
1007,28,142,33,1171,1129,875,164,1655,709,171
1008,2026,2150,2189,2439,2446,2070,2086,2174,2162,2365
1009,2077,2222,2250,2236,2095,1905,1975,2026,2052,2122
1010,1904,1911,2050,2150,2189,1953,1956,1986,2840,2062
1011,2354,2180,2256,85,2279,21,55,40,46,140
1012,2077,2122,2052,2046,2162,2000,2298,2148,2236,2095
1013,2222,2077,2281,2236,2095,2250,2439,2446,2026,2122
1014,2360,2298,2309,2400,2349,2441,2312,2380,2182,2343
1015,756,913,1063,1057,794,735,586,647,830,988
1016,2747,2749,2672,3003,2754,2954,2822,2826,2840,2966
1017,2250,2439,2446,2298,2360,2477,2026,2365,2134,2182
1018,2281,2365,1905,2236,2095,1975,2077,2343,2288,2439
1019,2365,2312,2358,2393,2309,2400,2214,2303,2250,1738
1020,1455,1447,1122,913,1063,1334,1264,1683,1899,756
1021,2954,3003,3024,3039,2997,2967,2966,2672,2808,2747
1022,1455,913,1063,756,1447,1057,735,617,586,647
1023,2298,2360,2365,2312,2397,2380,2303,2269,2358,2393
1024,2189,2036,1980,2016,2111,2232,2472,2481,2229,1953
1025,2439,2446,2477,2365,2472,2481,2397,2312,2380,2378
1026,1455,1189,756,1122,1236,1541,1608,1334,1264,794
1027,1541,1608,1455,1549,913,1063,1392,756,1397,1557
1028,2439,2446,2477,2365,2472,2481,2397,2312,2380,2378
1029,2439,2446,2477,2150,2365,2189,2472,2481,2232,1980
1030,55,46,96,40,67,5,90,83,59,72
1031,2819,2747,2954,2672,2749,2741,2707,2778,2468,2686
1032,2354,1891,1818,1641,1724,1780,2487,2055,2104,55
1033,67,96,46,55,756,83,59,72,110,672
1034,49,1110,1978,1590,1859,1932,849,1649,5,1463
1035,1455,1447,756,1122,913,1063,1541,1608,1683,1334
1036,96,46,55,67,59,72,110,1397,83,1191
1037,2365,2288,2343,2162,2397,2312,2298,2380,2360,2281
1038,2250,2439,2446,2477,2365,2298,1796,2360,2150,2026
1039,1447,913,1063,1546,756,778,1683,617,1057,735
1040,1684,2365,1643,1625,1796,1550,2312,2380,2229,1503
1041,142,171,2026,159,332,2134,2182,174,1796,2232
1042,1455,1189,913,1063,1479,756,1541,1608,1149,1132
1043,1975,2236,2095,2077,1905,2052,2164,1876,2039,1878
1044,1455,1392,1541,1608,1189,1382,1447,1122,1549,1236
1045,2439,2446,2477,1796,2365,2250,2472,2481,2150,2189
1046,2365,2250,2298,2077,2360,2148,2162,2026,2397,2439
1047,2947,3027,2892,2889,2936,2893,3009,2958,3016,3017
1048,1455,1447,1392,1541,1608,1122,1149,1382,1189,1549
1049,2162,2365,2229,2298,2026,2077,2312,2380,1941,2360
1050,3024,3039,1796,2439,2446,2477,2365,2954,2916,3035
1051,2672,2728,2954,3024,2819,2884,2808,2656,2997,2897
1052,2365,2312,2358,2393,2309,2400,2260,2268,2214,2303
1053,1455,1447,2286,2329,1392,1541,1608,1304,853,1122
1054,1455,1122,1334,1264,1261,756,1397,1447,913,1063
1055,1796,2439,2446,2477,2365,2472,2481,2150,2189,2312
1056,96,67,55,46,59,72,110,756,83,672
1057,2365,2312,2802,1710,1763,2358,2393,2309,2400,2260
1058,2365,2312,2380,2303,2269,2358,2393,2309,2400,2349
1059,2354,2244,55,46,2172,1653,1940,1724,1780,2286
1060,1455,1541,1608,1392,1304,853,1447,1171,1549,1843
1061,923,1655,1576,1028,1416,1443,1548,1686,1258,1342
1062,5,28,49,79,82,32,40,33,92,2995
1063,2250,2439,2446,2477,2298,2026,2360,2365,2150,2189
1064,2365,2150,2189,1796,2156,2312,2380,1980,2016,2111
1065,2365,2397,2312,2380,2298,2360,2358,2393,2182,2309
1066,1447,1546,1122,1455,893,747,837,778,735,1304
1067,2214,2303,2309,2400,2360,2365,2202,2397,2105,2312
1068,2365,2397,2312,2380,2298,2360,2358,2393,2309,2400
1069,67,46,2947,2782,2829,80,23,2764,2825,2945
1070,1541,913,1063,1132,1455,756,1397,1608,1479,1705
1071,2222,1905,2236,2095,1975,2077,1876,2039,1878,1959
1072,2077,2439,2446,2365,2477,2250,2122,2026,2472,2481
1073,1455,1447,1334,1264,913,1063,1392,756,1541,1608
1074,2365,2298,2360,2397,2312,2380,2358,2393,2309,2400
1075,2281,2077,2365,2236,2095,2397,2288,2122,2312,2343
1076,40,85,2354,55,5,21,46,28,1780,50
1077,1455,913,1063,756,1057,735,586,647,140,830
1078,5,28,40,90,33,55,46,21,49,53
1079,1479,1541,1608,1455,1549,399,1122,319,339,1683
1080,2540,2671,2669,2711,2755,2793,2562,2685,2593,2760
1081,617,913,1063,756,1608,1057,747,837,735,586
1082,2365,2312,2380,2298,2360,2229,2303,2269,2358,2393
1083,2222,1905,2236,2095,1975,2077,1876,2039,1878,1959
1084,2439,2446,2477,2365,1796,2472,2481,2312,2380,2378
1085,1796,3034,1792,2854,1904,1911,2954,3003,2848,2840
1086,1455,1447,1304,853,1392,1541,1608,1122,1450,1539
1087,2077,2122,2162,2298,2046,2000,2052,2182,2202,2229
1088,2077,2281,1975,2365,2046,2122,2236,2095,2000,2397
1089,2365,2312,2358,2393,2309,2400,2260,2268,2439,2446
1090,2354,2244,40,55,46,85,2172,5,50,1940
1091,2365,2312,2380,2358,2393,2309,2400,2349,2441,2439
1092,2540,2281,2468,2675,2503,2562,2772,2671,2711,2667
1093,2825,3009,2851,2881,2928,2893,3032,2971,2831,3027
1094,49,5,28,1324,1183,92,322,690,1083,26
1095,913,1063,756,1057,1334,1264,735,586,647,830
1096,1455,1447,1392,1541,1608,1122,1382,1189,1304,853
1097,2077,2222,2281,2236,2095,2250,2439,2446,2026,2122
1098,1455,1541,1608,1392,913,1063,1549,756,1057,1189
1099,55,46,40,21,2354,96,85,82,140,44
1100,2439,2446,2477,2365,2472,2481,2397,2312,2380,1796
1101,2309,2400,2349,2441,2303,2360,2269,2472,2481,2062
1102,2281,1905,2365,2236,2095,1975,2077,2288,2343,1876
1103,756,913,1063,1334,1057,1264,735,586,647,988
1104,2077,2122,2365,2162,2298,2250,2026,2397,2046,2052
1105,2439,2446,2477,1796,2365,2472,2481,2150,2312,2380
1106,2077,2365,2439,2446,2281,2477,2397,2122,2312,2380
1107,2540,2776,2503,2667,2562,2675,2757,2762,2882,2671
1108,2229,2162,2214,2269,2202,2148,2077,2189,2026,2150
1109,2281,1975,2052,2236,1905,2095,2365,2077,2090,2288
1110,1455,1447,1122,1392,1541,1608,1334,1264,1382,1189
1111,2150,2439,2446,2189,2477,2365,1796,1980,2016,2111
1112,1975,2222,2052,2236,2095,1905,2077,2090,1876,2039
1113,1375,2893,1960,3027,1423,2947,1671,3016,1562,2074
1114,1904,1911,1953,1792,1669,1842,1852,2036,2050,2895
1115,2222,1975,2236,2095,2077,1905,2052,2250,2164,2026
1116,2365,2397,2477,2312,2380,2439,2446,2360,2077,2298
1117,2728,3024,3039,2954,2986,3005,3010,3022,2808,3035
1118,1455,1122,1447,1392,1189,1541,1608,1382,1236,1334
1119,1455,1541,1608,1392,1549,1382,1189,913,1063,756
1120,2432,2478,465,513,2419,2421,2387,2564,2376,2285
1121,2365,2298,2360,2312,2380,2397,2229,2358,2393,2309
1122,2734,2306,2252,2802,2823,2124,2307,2363,1432,2351
1123,138,192,332,1455,30,42,66,1149,51,199
1124,2365,2298,2360,2162,2229,2312,2380,2250,2202,2397
1125,55,46,96,1780,40,1724,679,753,2055,2104
1126,1455,1447,1122,1392,1541,1608,1189,1382,1683,1501
1127,2077,2222,2236,2095,2250,2026,2122,2164,2070,2086
1128,1455,1541,1608,1549,1683,1546,1447,1392,1666,1122
1129,2281,1905,2236,2095,1975,2365,2077,2288,1876,2343
1130,2728,2954,3024,3039,2808,2997,2967,2884,2751,3033
1131,3033,3034,2705,2950,2651,2672,2724,3003,2995,2848
1132,2281,1905,2236,2095,1975,2365,2077,2288,1876,2343
1133,2281,2339,1975,2222,2439,2446,1796,2236,2414,2095
1134,2672,2747,2819,1763,1796,2189,2676,2741,2686,2749
1135,1975,1876,1878,1959,2150,2438,2851,2189,2772,2843
1136,2728,2954,3024,2884,2808,3039,2997,2872,2967,2680
1137,55,46,2354,96,1455,2244,1907,1189,2311,67
1138,2948,2827,2150,2189,2439,2446,2970,2477,2365,2818
1139,2250,2439,2446,2477,2026,2298,2365,2360,2472,2481
1140,2436,495,1110,2711,849,2667,1978,736,2757,2762
1141,913,1063,617,756,1057,735,586,647,830,988
1142,2728,2954,2751,3039,3024,2897,3035,3033,2808,3022
1143,2250,2439,2446,2477,2150,2298,2360,2189,2365,2026
1144,1975,2281,1905,2236,2095,2077,2052,1876,2039,1878
1145,2365,2298,2360,2397,2312,2380,2077,2148,2162,2182
1146,1455,1377,1447,1122,1501,50,1450,1539,1392,1570
1147,1455,1541,1608,1392,1304,853,1447,1549,1171,1382
1148,1905,2236,2095,1975,2077,1876,2039,1878,1959,2281
1149,1455,1541,1608,1392,1549,1447,1382,1189,1122,756
1150,2439,2446,2477,2365,2472,2481,2397,2077,2312,2380
1151,1455,1447,1304,853,1392,1749,1784,1541,1608,1122
1152,1455,913,1063,756,1344,1057,1243,674,893,1447
1153,1455,913,1063,1447,1334,1264,140,756,1392,1344
1154,1455,913,1063,1447,756,1334,1264,1057,140,735
1155,1455,1392,1541,1608,1189,1382,1447,1549,1236,1122
1156,2840,1904,1911,3003,1796,2966,2954,2848,2854,2879
1157,2439,2446,2477,2365,2472,2481,2397,2250,2312,2380
1158,55,46,96,2354,67,2244,1455,40,1907,1264
1159,1455,1334,1264,1122,913,1063,1261,1397,1189,491
1160,2162,2298,2360,2365,2077,2229,2182,2202,2312,2380
1161,2365,2312,2214,2303,2358,2393,2309,2400,2162,2298
1162,1455,1447,1304,853,1450,1539,1570,1122,1334,913
1163,1455,1304,853,1447,1392,1541,1608,1122,1450,1539
1164,2439,2446,2472,2481,2312,2380,2477,2378,2440,2520
1165,690,119,1455,970,189,499,140,913,1063,332
1166,1608,1455,2237,2318,2399,1549,2290,49,2207,2341
1167,2077,2281,2365,2236,2095,2122,2397,2312,2380,2162
1168,3039,2728,2954,3035,2672,3024,2995,2808,2997,2967
1169,1455,913,1063,1447,756,1334,1264,1057,1304,853
1170,2728,2954,3024,3039,2808,2997,2967,3033,3003,2884
1171,2672,2728,3039,2954,3024,2661,2656,2751,2808,2983
1172,2077,2439,2446,2365,2250,2122,2026,2477,2472,2481
1173,2189,1980,2016,2111,1796,2232,2472,2481,2229,1792
1174,2281,2439,2446,2365,1796,2222,2472,2481,1905,2236
1175,1455,1541,1608,1549,1683,1392,1546,1447,1666,1132
1176,1455,1122,1334,1264,913,1063,1447,756,1261,1057
1177,1455,1189,1122,1236,1382,1334,1264,913,1063,1332
1178,1455,1541,1608,1447,1392,1122,1549,1382,2117,1189
1179,1455,913,1063,1447,756,1541,970,1608,1057,690
1180,1905,2236,2095,1975,2077,1876,2039,1878,1959,1755
1181,55,46,96,67,2114,1499,2238,40,1724,2136
1182,2763,2772,40,2614,2707,2777,21,2688,2644,85
1183,2728,2954,2884,2808,2680,3024,3039,2997,2967,2872
1184,1447,1455,913,1063,1122,756,1057,1450,1539,1570
1185,1975,2281,2052,2222,2439,2446,2236,2095,1905,2090
1186,3022,3035,3033,3011,3034,2950,2945,3003,2786,2993
1187,1455,1447,1392,1122,1541,1608,1189,1382,1549,1683
1188,1023,888,690,1377,480,395,948,807,199,501
1189,1455,199,1447,41,138,192,30,875,1304,853
1190,1455,1447,1392,1541,1608,1122,1382,1189,1683,1549
1191,756,1455,794,1397,1334,1264,1541,1608,913,1063
1192,2365,2312,2358,2393,2309,2400,2260,2268,2288,2397
1193,2236,1905,2095,1975,2077,1876,2039,1878,1959,1755
1194,55,46,96,90,28,5,33,40,67,68
1195,2439,2446,2477,2365,2472,2481,2397,2312,2380,2250
1196,1447,1683,1122,1905,1455,1755,1546,1899,1628,1749
1197,2365,2105,1871,1767,2312,2050,1919,1833,1763,1967
1198,2250,2298,2360,2026,2365,2148,2439,2446,2162,2477
1199,1855,2431,2138,49,2341,2425,58,28,2426,2311
1200,2281,2222,2236,2343,2472,2481,2520,2349,2441,2477
1201,2309,2400,2349,2441,2360,2472,2481,2343,2312,2380
1202,2365,2439,2446,2312,2281,2222,1905,2236,2095,1975
1203,2439,2446,2477,2365,2472,2481,2397,2312,2380,1796
1204,2365,2397,2312,2380,2358,2393,2339,2309,2400,2349
1205,2365,2397,2312,2380,2439,2446,2477,2358,2393,2309
1206,2360,2343,1447,399,1628,2281,2309,2400,153,2298
1207,2439,2446,2477,2365,2472,2481,2312,2380,1796,2378
1208,2298,2360,2365,2182,2397,2312,2380,2148,2162,2303
1209,2365,2077,2397,2298,2360,2380,2439,2446,2162,2250
1210,1866,2026,1767,1763,2150,1975,2189,1654,1876,1878
1211,2077,2052,1975,2122,2236,2095,2046,2162,1905,2000
1212,1455,1334,1264,1122,1447,756,913,1063,1397,1261
1213,1455,913,1063,756,1057,735,1447,1334,586,647
1214,1455,1447,1392,1541,1608,1122,1382,1189,1549,90
1215,2354,55,46,96,2244,1724,1780,1455,2055,2104
1216,2439,2446,2365,2477,2472,2481,2312,2380,1796,2339
1217,2623,2413,2672,2744,2841,2860,2728,2954,2796,2703
1218,5,90,40,28,33,55,46,38,114,2354
1219,1749,1784,1455,1905,1843,1683,1666,1755,1447,1899
1220,2365,2298,2360,2312,2380,2397,2303,2269,2358,2393
1221,1455,1274,41,1534,1891,1818,1541,1608,1705,1392
1222,2365,2077,2397,2312,2380,2281,2122,2439,2446,2477
1223,2360,2312,2380,2298,2309,2400,2349,2441,2182,2358
1224,1975,2046,2000,2236,2095,2640,2077,1876,1878,1959
1225,2439,2446,2365,2477,2397,1796,2312,2380,2472,2481
1226,2365,2312,2358,2393,2309,2400,1290,2667,2260,2268
1227,2365,2312,2380,2298,2360,2162,2397,2182,2358,2393
1228,1455,1447,1392,1541,1122,1608,1382,1189,1683,1549
1229,2764,2672,2705,3003,2831,2598,2966,2639,2694,2681
1230,2365,2312,2250,1699,1738,1767,2358,2393,1763,2105
1231,55,46,96,67,1410,1189,1334,1397,1264,1455
1232,55,46,96,1334,40,67,1264,83,59,72
1233,2439,2446,2477,2365,2339,2298,2360,2472,2481,2250
1234,2365,2312,2358,2393,2309,2400,2260,2268,2288,2214
1235,2281,2365,2077,2397,2236,2312,2095,2380,2122,2288
1236,2728,2954,3024,2808,2997,2967,3039,3033,3003,2872
1237,5,28,33,49,187,79,61,90,40,7
1238,923,1447,970,1028,690,617,544,913,1063,1501
1239,1455,1447,1377,1549,1392,1541,1501,1608,1122,1450
1240,1455,1447,1122,1392,1541,1608,1189,1382,1683,1549
1241,2360,2309,2400,2349,2441,2298,2312,2380,2182,2343
1242,2910,3021,2905,3020,3022,2868,3031,2751,2876,2829
1243,2365,2250,2312,1738,1767,1699,2105,1871,2214,2303
1244,2077,2222,2250,2236,2095,2026,2122,2164,2281,2070
1245,2728,2954,3024,3039,2808,2997,2967,3033,2872,2986
1246,1447,1455,1122,1683,449,1546,1357,1541,1608,18
1247,5,98,40,85,50,114,28,90,52,38
1248,1904,1911,1953,1796,1792,1842,1852,1669,1518,2036
1249,67,96,2708,2829,2705,756,55,80,2764,3009
1250,1455,1541,1608,756,1549,1683,1447,1546,1392,913
1251,1541,1608,1455,1549,1392,1397,1557,1132,1479,1683
1252,2281,2339,2222,2439,2446,1975,2414,2236,2095,2365
1253,2281,1975,2236,2095,2365,2077,2288,2343,2052,2339
1254,3003,2672,2598,2758,2808,2977,2705,3034,2950,2997
1255,2439,2446,2477,2365,2077,2281,2472,2481,2250,2397
1256,2954,2819,2747,2884,2808,3024,3039,2997,2967,2804
1257,1447,1546,399,1628,513,1683,1392,853,1304,1171
1258,2439,2446,2365,2472,2481,2312,2380,1796,2378,2440
1259,2365,2312,2358,2393,2309,2400,2260,2268,2288,2397
1260,2439,2446,2477,2365,2472,2481,2397,2312,2380,2378
1261,1905,2236,2095,1975,2077,1876,2039,1878,1959,1755
1262,2150,2189,2439,2446,2365,2477,1980,2016,2111,2232
1263,1455,1122,1189,1236,1334,1264,1447,1043,1392,1541
1264,1122,1455,1189,1236,2406,1334,1043,1264,2401,2494
1265,1455,1392,1541,1447,1608,1382,1189,1122,1549,1332
1266,2365,2298,2360,2397,2312,2380,2182,2358,2393,2309
1267,2303,2269,2309,2400,2349,2441,2360,2365,2472,2481
1268,756,1455,794,1397,1334,1264,1189,913,1063,850
1269,2365,2312,2380,2229,2298,2360,2358,2393,2214,2309
1270,2365,2397,2312,2380,2298,2360,2162,2182,2358,2393
1271,756,1455,913,1063,140,794,1344,1057,1243,674
1272,2829,3009,2978,2947,2980,3008,2934,2984,2975,2945
1273,1455,199,138,192,114,1392,1447,41,1541,1608
1274,2829,2945,2984,2975,2900,2943,3011,3009,2978,2764
1275,2026,2439,2446,2477,2365,2070,2086,2174,2150,2189
1276,2439,2446,2077,2365,2281,2472,2481,2250,2477,2026
1277,46,55,5,2354,96,1724,1780,90,40,28
1278,2365,2077,2397,2281,2312,2380,2122,2052,2358,2393
1279,2281,2439,2446,2339,2365,2222,1905,2236,2095,2472
1280,2281,1905,2236,2095,1975,2365,2077,2288,1876,1878
1281,2077,2122,2052,2046,2162,2000,2298,2236,2095,2360
1282,2236,2095,1905,2077,1975,1876,2039,1878,1959,1755
1283,1455,1447,1122,1392,1334,1264,1541,1608,1683,1382
1284,2077,2250,2026,2122,2439,2446,2052,2070,2086,2174
1285,1975,2222,1905,2236,2095,2077,2052,1876,2039,1878
1286,1455,756,1541,1608,1392,1447,794,1549,1122,1189
1287,2236,2077,2164,2222,2095,1975,2122,2281,2039,1905
1288,2365,2397,2312,2380,2358,2393,2309,2400,2349,2441
1289,2439,2446,1796,2477,2365,2339,2077,2472,2481,2449
1290,2281,1905,2236,2095,1975,2365,2077,2288,1876,2343
1291,2077,2122,2052,2046,2162,2298,2148,2000,2360,2250
1292,2540,2562,2671,2711,2675,2503,2910,2457,2669,2772
1293,2250,2026,2439,2446,2477,2298,2360,2365,2070,2086
1294,1447,1628,399,1147,1238,1683,2523,513,2478,2324
1295,1455,1447,1392,1541,1608,1122,1382,1189,1549,1683
1296,40,46,5,3035,3033,55,2995,90,21,33
1297,1455,1541,1608,1189,913,1063,1122,1397,1549,1334
