,croc,CG8147,cad,twi,Cyp310a1,Doc2,Doc3,sna,htl,tsh
1173,1775,993,1070,1107,1108,1145,1146,1147,1160,1183
1174,993,1296,1448,1523,1562,1600,989,991,992,1027
1176,831,869,871,872,907,908,910,946,983,985
1178,720,756,757,794,798,1475,377,413,414,415
1179,2693,2695,2770,720,756,757,794,798,527,564
1180,961,2141,2180,2181,2182,2183,851,881,882,884
1181,263,341,379,529,566,570,2938,265,377,413
1182,15,52,11,19,20,32,34,35,37,38
1183,133,367,403,405,478,172,212,213,288,328
1184,2654,2655,2657,2658,2692,2696,2698,2732,2735,2984
1185,1587,1928,2496,2532,2534,828,865,866,903,904
1186,132,135,251,121,123,162,163,164,169,170
1187,295,341,379,751,332,340,342,378,380,758
1188,831,869,871,872,907,908,910,946,983,985
1189,831,869,871,872,907,908,910,946,983,985
1190,793,341,379,795,870,1063,1064,1096,1098,1101
1191,341,379,795,870,1063,1064,1096,1098,1101,1102
1192,989,991,992,1027,1028,1029,1030,1031,1066,1067
1193,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
1194,183,263,295,296,341,379,529,566,570,2938
1195,900,1130,1209,1247,1551,901,902,938,940,1054
1196,1019,1627,873,874,906,909,911,912,945,947
1197,647,951,952,953,990,1597,1635,1749,1750,1787
1199,2809,2847,717,754,755,760,792,793,2766,2769
1200,2548,2585,2586,2591,2629,2587,2588,2589,2623,2624
1201,2551,2471,2510,2511,2512,2550,2553,2554,2555,2588
1202,989,991,992,1027,1028,1029,1030,1031,1066,1067
1203,939,976,977,978,1013,1015,1052,1053,1055,1091
1204,901,902,938,940,1054,1245,1625,1663,1700,1701
1205,786,787,823,824,825,862,864,1209,1247,1551
1207,560,133,367,403,405,445,478,481,482,484
1208,900,1130,445,481,482,484,520,521,522,556
1209,1504,1813,1852,1887,1889,1962,1966,2002,2374,2375
1211,804,593,594,629,631,632,663,665,667,668
1212,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1213,720,756,757,794,798,377,413,414,415,416
1214,1133,2963,795,870,1019,1063,1064,1096,1098,1101
1215,263,341,379,529,566,570,2938,265,377,413
1216,635,637,674,675,709,711,747,748,749,901
1217,501,191,229,267,268,269,270,305,306,307
1218,377,413,414,415,416,417,418,448,449,450
1219,873,874,906,909,911,912,945,947,948,949
1220,901,902,938,940,1054,1245,1625,1663,1700,1701
1222,1504,1813,1852,1887,1889,1962,1966,2002,2374,2375
1223,2556,2767,2768,2517,2519,2558,2561,2557,2594,2595
1224,786,787,823,824,825,862,864,788,789,790
1225,927,929,930,965,966,967,970,1163,1195,1547
1226,901,902,938,940,1054,1245,1625,1663,1700,1701
1227,2383,2232,2269,2307,2308,900,1130,2273,2311,2193
1229,120,122,157,119,154,156,121,123,158,159
1230,1179,989,991,992,1027,1028,1029,1030,1031,1066
1231,32,34,35,37,38,68,74,114,295,341
1232,341,379,340,342,378,380,377,413,414,415
1233,3004,523,939,976,977,978,1013,1015,1052,1053
1234,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
1235,901,902,938,940,1054,1245,1625,1663,1700,1701
1236,160,161,199,200,201,202,203,204,206,208
1237,32,34,35,37,38,68,74,114,2937,31
1238,527,564,567,603,604,607,608,640,641,642
1239,981,1626,1246,1284,1322,1360,831,867,869,871
1240,341,379,377,413,414,415,416,417,418,448
1241,2639,2673,2677,2709,2711,2712,2714,2715,2717,2718
1242,212,213,330,331,369,406,407,408,409,442
1243,989,991,992,1027,1028,1029,1030,1031,1066,1067
1244,1160,1657,1695,1696,1697,1698,1730,1735,1736,1768
1245,273,274,275,276,311,312,441,477,479,480
1246,2801,2803,2805,2843,793,1893,2804,2799,2800,525
1247,148,184,220,221,259,2957,113,146,149,151
1248,423,425,462,463,464,465,500,343,344,345
1249,551,553,554,555,557,584,585,587,588,589
1250,1100,1210,1439,1476,1477,1514,1517,1519,1552,1553
1251,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1252,3004,939,976,977,978,1013,1015,1052,1053,1055
1255,865,903,979,1016,1017,1093,1739,1776,1814,1815
1256,343,344,345,347,381,382,383,384,385,386
1257,1893,795,870,1063,1064,1096,1098,1101,1102,1134
1258,1636,1673,1674,1711,1712,1939,2129,2167,2205,2206
1259,993,1296,1448,1523,1562,1600,989,991,992,1027
1260,900,1130,901,902,938,940,1054,1245,1587,1625
1261,865,903,979,1016,1017,1093,1739,1776,1814,1815
1262,751,1891,793,829,1133,1893,2963,295,341,379
1263,2124,2163,2950,3001,873,874,906,909,911,912
1264,341,379,795,870,1063,1064,1096,1098,1101,1102
1266,2517,2519,2558,2561,2477,2514,2516,2556,2559,2560
1267,2472,2601,2640,2643,2644,2645,2682,2685,2722,2551
1268,2313,341,379,529,566,570,795,870,1063,1064
1269,1504,1813,1852,1887,1889,1962,1966,2002,2374,2375
1270,1775,2483,2487,2523,2524,2525,2527,2562,2564,2565
1271,873,874,906,909,911,912,945,947,948,949
1272,251,635,637,674,675,709,711,747,748,749
1273,2654,2655,2657,2658,2692,2696,2698,2732,2735,2984
1274,251,635,637,674,675,709,711,747,748,749
1275,865,903,979,1016,1017,1093,1739,1775,1776,1814
1276,865,903,979,1016,1017,1093,1739,1776,1814,1815
1277,148,184,220,221,259,2957,113,146,149,151
1278,1587,1928,2496,2532,2534,828,865,866,903,904
1279,1179,989,991,992,1027,1028,1029,1030,1031,1066
1280,1160,1657,1695,1696,1697,1698,1730,1735,1736,1768
1281,901,902,938,940,1054,1245,1625,1663,1700,1701
1282,1775,1160,1657,1695,1696,1697,1698,1730,1735,1736
1283,527,564,567,603,604,607,608,640,641,642
1284,1160,1657,1695,1696,1697,1698,1730,1735,1736,1768
1285,788,826,827,863,3029,750,751,1587,1928,2496
1286,341,379,340,342,378,380,377,413,414,415
1287,1741,1779,1855,2654,2655,2657,2658,2690,2692,2696
1288,901,902,938,940,1054,1245,1625,1663,1700,1701
1289,1129,1167,1168,1205,1206,1207,1243,1244,1435,1472
1290,865,903,979,1016,1017,1093,1739,1775,1776,1814
1291,1160,1657,1695,1696,1697,1698,1730,1735,1736,1768
1293,786,787,823,824,825,862,864,788,789,790
1295,793,341,379,795,870,1063,1064,1096,1098,1101
1296,46,88,83,84,85,87,124,593,594,629
1297,829,1133,1513,1589,2963,758,830,1026,1177,1216
