,croc,Ilp4,Ance,Cyp310a1,twi,Doc3,Doc2,cnc,aay,cad
1171,939,976,977,978,1013,1015,1052,1053,1055,1091
1175,793,795,870,1063,1064,1096,1098,1101,1102,1134
1176,831,869,871,872,907,908,910,946,983,985
1177,1627,1019,295,341,379,1478,1741,1743,1779,1855
1178,1171,720,756,757,759,794,796,797,798,832
1179,831,869,871,872,907,908,910,946,983,985
1180,2018,2094,851,881,882,884,885,919,920,921
1181,341,379,526,529,566,570,263,340,377,413
1183,133,172,364,365,367,403,405,478,199,200
1184,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
1185,788,826,827,863,2496,2532,2534,3029,750,751
1186,121,123,162,163,164,169,3012,132,120,122
1187,829,1133,2963,758,830,1026,1177,1216,1406,1442
1188,831,869,871,872,907,908,910,946,983,985
1189,831,869,871,872,907,908,910,946,983,985
1190,793,795,870,1063,1064,1096,1098,1101,1102,1134
1191,793,795,870,1063,1064,1096,1098,1101,1102,1134
1192,951,952,953,989,990,991,992,1027,1028,1029
1193,2169,2208,2247,2547,1010,1033,1035,1037,1071,1072
1194,183,263,295,296,341,379,529,566,570,265
1195,1209,1247,786,787,823,824,825,862,864,900
1196,1019,981,1133,2804,2963,873,874,906,909,911
1197,951,952,953,989,990,991,992,1027,1028,1029
1198,968,1083,1086,1122,1124,1156,1775,867,1323,1361
1199,758,830,1026,1177,1216,1406,1442,2539,2543,2544
1200,2548,2585,2586,2591,2629,2587,2588,2589,2623,2624
1201,2551,2471,2472,2510,2511,2512,2550,2553,2554,2555
1203,598,939,976,977,978,1013,1015,1052,1053,1055
1204,901,902,938,940,1054,1245,635,637,674,675
1205,1209,1247,786,787,823,824,825,862,864,900
1206,2767,2768,2762,2804,2725,2731,2772,2730,2734,2690
1207,1129,1167,1168,1205,1206,1207,1243,1244,2994,786
1208,786,787,823,824,825,862,864,900,1130,788
1209,1994,2374,2375,2412,2413,2416,2450,2451,2452,2453
1210,980,1018,1359,2593,3025,941,954,1014,1070,1094
1211,804,802,2987,667,668,669,697,699,700,701
1213,720,756,757,759,794,796,797,798,832,834
1215,263,341,379,529,566,570,265,377,413,414
1216,901,902,938,940,1054,1245,445,481,482,484
1217,501,229,267,268,269,270,305,306,307,309
1218,32,34,35,37,68,74,114,377,413,414
1219,873,874,906,909,911,912,945,947,948,949
1220,901,902,938,940,1054,1245,635,637,674,675
1221,867,1323,1361,1399,1438,1626,2650,868,1020,1248
1222,1994,2374,2375,2412,2413,2416,2450,2451,2452,2453
1225,857,858,859,860,861,891,892,893,894,896
1226,609,901,902,938,940,1054,1245,1065,1069,1103
1227,2045,2083,2204,525,1513,1626,2383,288,328,366
1228,793,795,870,1063,1064,1096,1098,1101,1102,1134
1230,1179,951,952,953,989,990,991,992,1027,1028
1231,295,341,379,342,378,380,486,1133,1475,2963
1232,341,379,342,378,380,377,413,414,415,416
1233,941,1014,1397,3004,867,1019,2383,2650,865,903
1234,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
1235,901,902,938,940,1054,1245,635,637,674,675
1236,160,161,121,123,158,159,162,163,164,169
1237,32,34,35,37,68,74,114,2937,31,38
1238,831,869,871,872,907,908,910,946,983,985
1239,1626,1593,1627,1630,1704,1778,981,1475,1664,1740
1240,793,795,870,1063,1064,1096,1098,1101,1102,1134
1241,2639,2599,2601,2640,2641,2643,2644,2645,2680,2681
1242,212,213,330,331,369,406,408,442,444,514
1244,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
1245,273,274,275,276,311,312,230,231,233,234
1246,1893,1480,1482,1557,1823,1861,1897,1934,3030,1891
1247,32,34,35,37,68,74,114,2937,113,146
1248,423,425,462,463,464,465,500,343,344,345
1249,46,553,554,555,557,587,589,590,591,592
1250,717,754,755,760,792,1100,1210,1439,758,830
1251,793,795,870,1063,1064,1096,1098,1101,1102,1134
1252,3004,939,976,977,978,1013,1015,1052,1053,1055
1253,865,903,979,1016,1017,1093,2382,2420,2458,673
1254,120,122,157,119,154,156,121,123,158,159
1255,865,903,979,1016,1017,1093,2382,2420,2458,673
1256,343,344,345,347,381,382,383,384,385,386
1257,2799,2800,2801,2803,2805,2843,2804,793,795,870
1260,786,787,823,824,825,862,864,900,1130,788
1262,829,1133,2963,1094,793,795,867,870,1019,1063
1263,3001,564,603,607,640,641,642,643,646,679
1264,341,379,342,378,380,377,413,414,415,416
1265,527,565,567,604,608,644,1596,1628,1629,1631
1266,2517,2519,2558,2561,2596,935,936,937,969,971
1268,263,341,379,529,566,570,265,377,413,414
1269,1994,2374,2375,2412,2413,2416,2450,2451,2452,2453
1270,1775,1160,2003,2036,2038,2039,2041,2219,2257,2258
1271,873,874,906,909,911,912,945,947,948,949
1272,445,481,482,484,520,521,522,556,558,559
1273,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
1274,595,524,445,481,482,484,520,521,522,556
1275,865,903,979,1016,1017,1093,2382,2420,2458,867
1276,1739,1776,1814,1815,2004,2947,2998,865,903,979
1277,113,146,148,149,181,184,186,220,221,259
1278,788,826,827,863,2496,2532,2534,3029,750,751
1279,1179,951,952,953,989,990,991,992,1027,1028
1280,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
1281,1625,1663,1700,1701,1738,1664,1739,1740,1776,1814
1282,1775,1160,2003,2036,2038,2039,2041,2219,2257,2258
1283,873,874,906,909,911,912,945,947,948,949
1284,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
1285,788,826,827,863,2496,2532,2534,3029,750,751
1286,341,379,342,378,380,377,413,414,415,416
1287,1741,1779,1855,1627,1665,1778,867,1019,1323,1361
1288,901,902,938,940,1054,1245,3004,867,1323,1361
1289,1129,1167,1168,1205,1206,1207,1243,1244,2994,786
1290,865,903,979,1016,1017,1093,2382,2420,2458,867
1291,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
1292,2673,2677,2709,2711,2712,2714,2715,2717,2718,2719
1293,786,787,823,824,825,862,864,900,1130,788
1294,793,795,870,1063,1064,1096,1098,1101,1102,1134
1295,793,795,870,1063,1064,1096,1098,1101,1102,1134
1296,46,47,83,87,593,594,629,632,53,88
1297,829,1133,2963,758,830,1026,1177,1216,1406,1442
