,croc,CG8147,twi,gt,Doc2,Doc3,aay,Mes2,kni,sna
1162,831,869,871,872,907,908,910,946,983,985
1163,831,869,871,872,907,908,910,946,983,985
1164,994,995,997,998,999,1034,1036,1038,1149,1186
1165,1171,759,796,797,832,834,835,836,981,1097
1166,564,603,607,640,641,642,643,646,679,680
1167,968,1083,1086,1122,1124,1156,901,902,938,940
1168,597,598,599,633,634,636,670,671,672,707
1169,831,869,871,872,907,908,910,946,983,985
1170,133,172,364,365,367,403,405,478,160,161
1171,133,172,364,365,367,403,405,478,597,598
1172,935,936,937,969,971,972,973,974,975,1001
1173,993,1070,1107,1108,1145,1146,1147,1160,1183,1296
1174,993,1296,989,991,992,1027,1028,1029,1030,1031
1175,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1176,831,869,871,872,907,908,910,946,983,985
1177,1627,1019,1478,1741,1743,1779,1855,1858,2086,981
1178,720,756,757,794,798,645,681,683,717,718
1179,2693,2695,2770,720,756,757,794,798,564,603
1182,15,52,11,19,20,32,34,35,37,38
1183,133,172,364,365,367,403,405,478,160,161
1185,2496,2532,2534,828,865,866,903,904,979,1016
1186,121,123,162,163,164,169,171,209,248,286
1187,791,295,341,379,758,830,1026,1177,1216,1406
1188,831,869,871,872,907,908,910,946,983,985
1189,831,869,871,872,907,908,910,946,983,985
1190,793,795,870,1063,1064,1096,1098,1101,1102,1134
1191,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1192,989,991,992,1027,1028,1029,1030,1031,1066,1067
1193,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
1195,900,1130,1209,1247,901,902,938,940,1054,1245
1196,1019,981,1133,2963,873,874,906,909,911,912
1197,951,952,953,990,1977,1978,2015,2053,2055,2091
1198,968,1083,1086,1122,1124,1156,1775,901,902,927
1199,2730,2734,717,754,755,760,792,793,2809,2847
1200,2548,2585,2586,2591,2629,2587,2588,2589,2623,2624
1201,2551,2471,2472,2510,2511,2512,2550,2553,2554,2555
1202,989,991,992,1027,1028,1029,1030,1031,1066,1067
1203,939,976,977,978,1013,1015,1052,1053,1055,1091
1204,901,902,938,940,1054,1245,865,903,979,1016
1205,786,787,823,824,825,862,864,1209,1247,788
1206,2767,2768,2804,2725,2731,2772,2730,2734,2762,2765
1209,2374,2375,2412,2413,2416,2450,2451,2452,2453,2455
1210,980,1018,1359,941,1014,1070,1107,1108,1145,1146
1212,1480,1482,1557,1823,1861,1897,1934,3030,1444,1478
1213,720,756,757,794,798,645,681,683,717,718
1214,1133,2963,795,870,1019,1063,1064,1096,1098,1101
1215,263,341,379,529,566,570,265,377,413,414
1216,635,637,674,675,709,711,747,748,749,901
1217,501,191,229,267,268,269,270,305,306,307
1218,32,34,35,37,38,68,74,114,377,413
1219,873,874,906,909,911,912,945,947,948,949
1220,901,902,938,940,1054,1245,900,939,968,976
1221,867,1323,1361,1399,1438,1626,2650,868,1020,1248
1223,2556,2557,2594,2595,2597,2638,2767,2768,2517,2519
1224,786,787,823,824,825,862,864,788,789,790
1225,927,929,930,965,966,967,970,1163,1195,900
1226,901,902,938,940,1054,1245,1065,1069,1103,1104
1227,2383,559,561,596,900,1130,1435,1472,1510,1547
1228,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1229,120,122,157,119,154,156,121,123,158,159
1230,1179,989,991,992,1027,1028,1029,1030,1031,1066
1231,295,341,379,340,342,378,380,447,486,32
1232,341,379,340,342,378,380,377,413,414,415
1233,3004,939,976,977,978,1013,1015,1052,1053,1055
1235,901,902,938,940,1054,1245,865,903,979,1016
1236,160,161,199,200,201,202,203,204,206,208
1237,32,34,35,37,38,68,74,114,2937,31
1238,564,603,607,640,641,642,643,646,679,680
1239,1626,1593,1627,1630,1704,1778,1246,1284,1322,1360
1240,793,341,379,720,756,757,794,798,340,342
1241,2639,2599,2601,2640,2641,2643,2644,2645,2680,2681
1242,212,213,330,331,369,406,407,408,409,442
1243,989,991,992,1027,1028,1029,1030,1031,1066,1067
1244,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
1245,273,274,275,276,311,312,153,155,192,193
1246,1893,525,793,341,379,1480,1482,1557,1823,1861
1247,32,34,35,37,38,68,74,114,2937,113
1248,423,425,462,463,464,465,500,343,344,345
1249,46,551,553,554,555,557,584,585,587,588
1250,1100,1210,1439,758,830,868,1020,1026,1177,1216
1251,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1252,3004,939,976,977,978,1013,1015,1052,1053,1055
1253,865,903,979,1016,1017,1093,2382,2420,2458,942
1254,120,122,157,119,154,156,121,123,158,159
1255,865,903,979,1016,1017,1093,2382,2420,2458,942
1256,343,344,345,347,381,382,383,384,385,386
1257,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1258,1939,2129,2167,2205,2206,2207,2244,2246,951,952
1259,993,1296,989,991,992,1027,1028,1029,1030,1031
1260,900,1130,901,902,938,940,1054,1245,2496,2532
1261,1739,1776,1814,1815,2004,2947,2998,1777,2005,865
1262,751,793,829,1133,2963,795,867,870,1019,1063
1263,3001,873,874,906,909,911,912,945,947,948
1264,341,379,1480,1482,1557,1823,1861,1897,1934,3030
1265,527,565,567,604,608,644,3016,526,564,569
1267,2551,2471,2472,2510,2511,2512,2550,2553,2554,2555
1268,341,379,529,566,570,1480,1482,1557,1823,1861
1269,2374,2375,2412,2413,2416,2450,2451,2452,2453,2455
1270,2483,2487,2523,2524,2525,2527,2562,2564,2565,2566
1271,873,874,906,909,911,912,945,947,948,949
1272,251,445,481,482,484,520,521,522,556,558
1273,2654,2655,2657,2658,2692,2696,2698,2732,2735,2984
1274,635,637,674,675,709,711,747,748,749,750
1275,865,903,979,1016,1017,1093,2382,2420,2458,2383
1276,1739,1776,1814,1815,2004,2947,2998,865,903,979
1277,113,146,148,149,181,184,186,220,221,259
1279,1179,989,991,992,1027,1028,1029,1030,1031,1066
1280,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
1281,1625,1663,1700,1701,1738,1739,1776,1814,1815,2004
1282,1775,1160,2003,2036,2038,2039,2041,2219,2257,2258
1283,564,603,607,640,641,642,643,646,679,680
1284,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
1285,788,826,827,863,3029,750,751,2496,2532,2534
1286,341,379,340,342,378,380,377,413,414,415
1287,1741,1779,1855,2809,2847,2745,2766,2769,2771,2773
1288,901,902,938,940,1054,1245,3004,2383,865,903
1289,1129,1167,1168,1205,1206,1207,1243,1244,2994,900
1290,865,903,979,1016,1017,1093,2382,2420,2458,2383
1291,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
1292,2673,2677,2709,2711,2712,2714,2715,2717,2718,2719
1293,786,787,823,824,825,862,864,788,789,790
1294,793,720,756,757,794,798,2804,795,870,1063
1295,793,795,870,1063,1064,1096,1098,1101,1102,1134
