,oc,CG8147,twi,Cyp310a1,Ance,disco,Doc3,Mes2,knrl,tsh
1164,994,999,1125,1265,1501,1502,1503,1540,1541,1542
1165,1475,447,1171,1550,377,413,414,417,418,448
1167,1737,938,940,968,1054,1083,1086,1122,1124,1156
1168,597,598,599,633,634,636,671,672,707,710
1169,831,869,871,872,907,908,910,946,983,985
1170,367,403,405,478,133,328,330,331,365,366
1171,367,403,405,478,133,328,330,331,365,366
1172,1001,1002,1039,1040,1078,1071,1109,1110,1148,1452
1173,1147,993,1032,1070,1071,1107,1108,1109,1110,1145
1174,993,1032,1296,1448,1523,1562,1600,955,956,994
1175,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1176,831,869,871,872,907,908,910,946,983,985
1177,1019,1627,981,1133,2963,873,874,906,909,911
1178,32,34,35,37,38,68,74,114,2937,720
1179,720,756,757,794,798,2693,2695,2770,415,416
1180,961,2141,2180,2181,2182,2183,851,882,884,885
1181,263,341,265,379,415,416,449,487,491,492
1182,15,20,32,34,35,37,38,68,74,114
1183,367,403,405,478,133,328,330,331,365,366
1184,2654,2655,2657,2658,2692,2696,2698,2732,2735,2984
1185,1853,2004,2612,2947,1587,1813,1887,1889,1890,1928
1186,132,135,251,46,123,162,163,164,169,170
1187,295,341,486,340,342,378,380,332,379,415
1188,831,869,871,872,907,908,910,946,983,985
1189,831,869,871,872,907,908,910,946,983,985
1190,793,379,795,870,1063,1064,1096,1098,1101,1102
1191,341,379,415,416,449,487,491,492,795,870
1193,1071,1109,1110,1148,1452,994,999,1001,1002,1010
1194,183,32,34,35,37,38,68,74,114,379
1195,1247,1551,900,927,929,965,966,967,970,1130
1196,1019,1627,873,874,906,909,911,912,945,947
1197,951,952,953,990,1597,1635,1749,1750,1787,1788
1198,968,1083,1086,1122,1124,1156,927,929,965,966
1200,2548,2585,2586,2591,2629,955,956,1713,1751,1753
1201,2551,2471,2472,2510,2511,2512,2550,2553,2554,2555
1202,989,991,992,1027,1028,1029,1030,1031,1066,1067
1203,939,976,977,978,1015,1052,1053,1091,1128,901
1205,786,823,824,862,1209,827,863,787,825,864
1206,2767,2768,2556,2557,2594,2595,2597,2638,2762,2804
1207,367,403,405,445,478,481,482,484,522,556
1208,900,1130,520,521,787,825,864,930,938,940
1209,1504,1852,2416,2455,2457,2494,2495,2533,2570,2940
1210,980,1018,1359,3025,942,939,941,976,977,978
1211,668,701,738,740,742,743,776,777,780,782
1212,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1213,415,416,449,487,491,492,720,756,757,794
1214,1133,2963,795,870,1019,1063,1064,1096,1098,1101
1215,379,529,566,570,2938,263,377,413,414,417
1216,445,481,482,484,522,556,558,618,619,621
1217,501,423,425,462,463,464,465,500,195,571
1218,415,416,449,487,491,492,486,295,296,335
1219,873,874,906,909,911,912,945,947,948,949
1220,901,902,938,939,940,968,976,977,978,1001
1221,1626,1664,1740,867,1323,1361,1399,1438,1777,1778
1222,994,999,1265,1813,1887,1889,1962,1966,2002,2374
1223,2556,2557,2594,2595,2597,2638,2517,2519,2558,2561
1224,786,823,824,862,925,133,655,660,692,787
1225,898,930,1125,1163,1547,2977,901,902,865,903
1226,690,901,902,1065,1069,1103,1104,1105,1106,1141
1227,2383,559,561,595,596,783,784,785,786,822
1228,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1229,120,122,157,156,123,158,162,163,164,169
1230,1179,989,991,992,1027,1028,1029,1030,1031,1066
1231,32,34,35,37,38,68,74,114,379,2937
1232,341,379,415,416,449,487,491,492,340,342
1234,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
1236,439,475,476,511,544,545,546,548,581,121
1237,31,75,106,107,108,111,144,145,150,259
1239,981,1626,1246,1284,1322,1360,1436,3004,831,867
1240,379,377,413,414,417,418,448,450,451,452
1241,2639,2643,2644,2645,2680,2681,2682,2683,2685,2722
1243,989,991,992,1027,1028,1029,1030,1031,1066,1067
1244,1071,1109,1110,1148,1160,1452,1730,1768,1771,1772
1245,273,274,275,276,311,312,583,153,155,173
1246,793,1893,2799,2800,2801,2803,2805,2843,379,795
1247,259,113,146,148,149,181,184,186,220,221
1249,46,658,845,846,848,849,888,924,41,53
1250,1100,1210,1439,1476,1477,1514,1517,1519,1552,1553
1251,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1252,939,976,977,978,1001,1002,1015,1039,1040,1052
1253,1777,905,943,1056,1398,1702,1816,1853,2004,2005
1254,120,122,157,156,123,158,162,163,164,169
1256,343,497,498,687,725,762,398,399,473,496
1258,2813,838,1636,1673,1674,1711,1712,1939,2129,2167
1259,1147,993,1032,1070,1071,1107,1108,1109,1110,1145
1260,786,823,824,862,900,925,927,929,962,963
1261,865,903,1017,2004,2947,901,902,979,1016,1071
1262,793,829,1133,1893,2963,751,791,1094,1891,1892
1263,2124,2163,2950,3001,873,874,906,909,911,912
1265,565,527,564,567,603,604,607,608,640,641
1266,2517,2519,2558,2561,2596,2477,2513,2514,2515,2516
1267,2551,2471,2472,2510,2511,2512,2550,2553,2554,2555
1268,341,2313,263,379,415,416,449,487,491,492
1270,1775,2565,2566,2646,1657,1695,1696,1697,1698,1735
1271,873,874,906,909,911,912,945,947,948,949
1272,524,709,711,747,748,749,750,2941,445,481
1273,2654,2655,2657,2658,2692,2696,2698,2732,2735,2984
1274,251,49,60,92,136,290,2973,445,481,482
1276,865,903,1017,2004,2947,901,902,979,1016,1071
1277,32,34,35,37,38,68,74,114,2937,113
1278,1853,2004,2612,2947,1587,1813,1887,1889,1890,1928
1279,1179,989,991,992,1027,1028,1029,1030,1031,1066
1281,2004,2947,938,940,968,1054,1083,1086,1122,1124
1282,1775,1657,1695,1696,1697,1698,1735,1736,2001,2039
1283,720,756,757,794,798,527,564,567,603,604
1284,1657,1695,1696,1697,1698,1735,1736,2001,2039,2041
1285,788,826,1994,2482,2486,2528,3029,1853,2004,2612
1286,379,377,413,414,417,418,448,450,451,452
1287,2745,2789,2819,2919,2587,2588,2589,2623,2624,2625
1288,938,940,968,1054,1083,1086,1122,1124,1156,1245
1290,865,903,1017,2004,2947,901,902,979,1016,1071
1291,1071,1109,1110,1148,1160,1452,1730,1768,1771,1772
1292,2673,2677,2709,2711,2712,2714,2715,2748,2750,2751
1293,786,823,824,862,925,133,827,863,655,660
1294,793,720,756,757,794,798,2804,15,20,32
1295,793,379,795,870,1063,1064,1096,1098,1101,1102
1296,46,84,85,87,697,699,729,731,734,735
1297,829,1133,1209,1513,1589,2963,295,341,758,830
