,oc,CG8147,disco,Cyp310a1,Doc2,gt,knrl,Mes2,Dfd,tsh
1158,295,341,379,32,34,35,37,38,68,74
1159,873,874,906,909,911,912,945,947,948,949
1160,1426,1427,1467,1469,1699,1737,1775,551,584,588
1161,1447,1483,1484,1485,1521,1522,1524,1559,1560,1561
1162,831,868,869,871,872,907,908,910,946,983
1163,831,868,869,871,872,907,908,910,946,983
1164,1223,1260,1261,1299,1336,1339,2328,2639,2673,2674
1166,564,565,603,607,640,641,642,646,527,567
1167,935,936,937,968,969,971,972,973,974,975
1168,597,598,599,633,634,635,636,637,670,671
1169,831,868,869,871,872,907,908,910,946,983
1170,172,133,249,364,365,367,403,405,478,160
1171,597,598,599,633,634,635,636,637,670,671
1172,935,936,937,968,969,971,972,973,974,975
1173,993,1070,1107,1108,1145,1146,1147,1183,1065,1069
1174,993,996,1032,1184,1222,1296,1335,2496,2532,2534
1175,758,795,830,870,1026,1063,1064,1096,1098,1101
1176,831,868,869,871,872,907,908,910,946,983
1177,1627,1741,1779,1855,1019,1665,1778,1441,1443,1478
1178,717,720,754,755,756,757,760,792,794,798
1179,643,679,680,682,684,831,868,869,871,872
1180,961,2109,2141,2145,2146,2147,2180,2181,2182,2183
1181,341,379,263,377,413,414,415,416,417,418
1182,15,52,11,19,20,32,34,35,37,38
1183,172,133,249,364,365,367,403,405,478,160
1184,2654,2655,2657,2658,2692,2693,2696,2732,873,874
1185,2496,2532,2534,828,865,866,903,904,941,979
1186,121,123,162,163,164,169,171,209,248,286
1187,295,341,379,32,34,35,37,38,68,74
1188,831,868,869,871,872,907,908,910,946,983
1189,831,868,869,871,872,907,908,910,946,983
1190,793,758,795,830,870,1026,1063,1064,1096,1098
1191,758,795,830,870,1026,1063,1064,1096,1098,1101
1192,989,991,992,1027,1028,1029,1030,1031,1066,1067
1194,183,263,295,296,341,379,265,181,184,220
1195,900,1129,1130,1167,1168,1205,1206,1207,1243,1244
1196,2690,2725,2728,2729,2767,2768,1019,2730,2734,2689
1197,951,952,953,990,609,954,1977,1978,2015,2053
1198,3004,1775,935,936,937,968,969,971,972,973
1199,758,795,830,870,1026,1063,1064,1096,1098,1101
1200,2548,2585,2586,2587,2591,2623,2624,2625,2626,2627
1201,2551,2588,2589,2630,2169,2208,2247,2471,2472,2510
1202,989,991,992,1027,1028,1029,1030,1031,1066,1067
1203,901,902,938,939,940,976,977,978,1013,1015
1204,901,902,938,939,940,976,977,978,1013,1015
1205,11,370,1171,1209,1247,6,12,13,14,15
1206,2767,2768,2731,2772,2804,2809,2847,2730,2734,2763
1207,786,787,823,824,825,862,864,172,788,789
1208,900,1129,1130,1167,1168,1205,1206,1207,1243,1244
1209,994,995,997,998,999,1034,1036,1038,1149,1186
1210,942,980,1018,1056,1359,2421,2460,2461,2649,828
1211,1426,1427,1467,1469,1699,1737,1996,1999,551,584
1212,1444,1480,1481,1482,1520,1557,1558,1821,1823,1824
1213,717,720,754,755,756,757,760,792,794,798
1214,1133,2963,758,795,830,870,1019,1026,1063,1064
1215,263,341,379,265,151,185,190,224,301,303
1217,501,191,229,267,268,269,270,305,306,307
1218,32,34,35,37,38,68,74,114,2937,31
1219,2695,2698,2735,2770,2984,873,874,906,909,911
1221,867,981,1323,1361,1399,1438,1626,2650,1246,1284
1222,994,995,997,998,999,1034,1036,1038,1149,1186
1223,2767,2768,2556,2557,2594,2595,2597,2599,2601,2636
1224,560,595,786,787,823,824,825,862,864,445
1226,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
1227,1435,1472,1510,1549,1586,1623,2383,900,1129,1130
1228,758,795,830,870,1026,1063,1064,1096,1098,1101
1229,120,122,157,119,154,156,121,123,158,159
1230,1217,1255,1256,1257,1293,1294,1295,1331,1332,1333
1231,295,341,379,32,34,35,37,38,68,74
1232,341,379,340,342,378,380,377,413,414,415
1233,865,903,941,979,1014,1016,1017,1093,1397,2382
1234,1408,1409,1446,1065,1069,1103,1104,1105,1106,1141
1235,901,902,938,939,940,976,977,978,1013,1015
1236,160,161,199,200,201,202,203,204,206,208
1238,643,679,680,682,684,831,868,869,871,872
1239,1626,1778,1664,1740,1593,1596,1627,1628,1629,1630
1241,2639,2673,2674,2675,2676,2677,2709,2710,2711,2712
1242,212,213,330,331,369,406,407,408,409,442
1243,989,991,992,1027,1028,1029,1030,1031,1066,1067
1244,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
1245,273,274,275,276,311,312,153,155,192,193
1246,2725,2730,2734,2689,2726,2727,2695,2698,2733,2735
1247,113,146,148,149,186,32,34,35,37,38
1248,423,425,462,463,464,465,500,343,344,345
1251,758,795,830,870,1026,1063,1064,1096,1098,1101
1253,942,980,1018,1056,1359,2421,2460,2461,2649,905
1254,120,122,157,119,154,156,115,117,343,344
1255,865,903,941,979,1014,1016,1017,1093,1397,2382
1256,343,344,345,347,381,382,383,384,385,386
1257,758,795,830,870,1026,1063,1064,1096,1098,1101
1258,951,952,953,990,1939,2129,2167,2205,2206,2207
1259,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
1260,900,1129,1130,1167,1168,1205,1206,1207,1243,1244
1261,1739,1776,1814,1815,2004,2947,2998,1777,2005,865
1262,751,829,791,828,866,904,2459,2497,2498,2535
1263,2160,2161,2198,2199,2200,2387,2388,2389,2393,2424
1264,341,379,1444,1480,1481,1482,1520,1557,1558,1821
1265,643,679,680,682,684,527,567,604,608,644
1266,745,779,781,782,811,813,814,815,816,843
1267,2551,2588,2589,2630,2169,2208,2247,2471,2472,2510
1268,2049,2084,2087,2088,2089,2090,2123,2124,2125,2126
1269,994,995,997,998,999,1034,1036,1038,1149,1186
1270,2173,2210,2213,2248,2249,2250,2251,2288,2290,2441
1271,873,874,906,909,911,912,945,947,948,949
1273,2695,2698,2735,2770,2984,2654,2655,2657,2658,2692
1274,595,445,481,482,484,520,521,522,556,558
1275,865,903,941,979,1014,1016,1017,1093,1397,2382
1276,1739,1776,1814,1815,2004,2947,2998,865,903,941
1278,2496,2532,2534,828,865,866,903,904,941,979
1279,989,991,992,1027,1028,1029,1030,1031,1066,1067
1280,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
1281,1396,1433,1434,1624,1625,1661,1662,1663,1700,1701
1282,1775,1010,1033,1035,1037,1071,1072,1073,1074,1075
1283,2654,2655,2657,2658,2692,2693,2696,2732,873,874
1286,341,379,377,413,414,415,416,417,418,454
1287,2690,2725,2728,2729,2767,2768,2730,2734,2689,2726
1289,1094,1171,1209,1246,1247,1284,1322,1360,1474,1512
1292,2639,2673,2674,2675,2676,2677,2709,2710,2711,2712
1293,786,787,823,824,825,862,864,172,788,789
1294,2730,2734,2772,2804,2809,2847,2885,793,2695,2698
1295,793,758,795,830,870,1026,1063,1064,1096,1098
1296,46,83,41,49,53,60,81,86,88,89
1297,1133,2963,758,795,830,870,1019,1026,1063,1064
