,croc,oc,disco,Cyp310a1,run,Doc3,Mes2,aay,knrl,tsh
1180,961,2141,2180,2181,2182,2183,2107,2109,2145,2146
1181,263,341,379,529,566,570,2938,265,377,413
1182,17,19,32,34,35,37,68,74,114,2937
1183,439,475,476,511,544,545,546,548,581,199
1184,717,754,755,760,792,565,868,1020,1248,1286
1185,1587,1928,2496,2532,2534,828,865,866,903,904
1186,132,123,162,163,164,169,3012,57,59,92
1188,981,1057,1285,1475,831,869,871,872,907,908
1191,341,379,795,870,1063,1064,1096,1098,1101,1102
1192,989,991,992,1027,1028,1029,1030,1031,1066,1067
1193,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
1194,32,34,35,37,68,74,114,295,341,379
1195,900,927,929,965,966,967,970,1130,1195,1853
1196,1019,1627,873,874,906,909,911,912,945,947
1197,690,951,952,953,990,1597,1635,1749,1750,1787
1198,850,968,1083,1086,1122,1124,1156,2483,2487,2523
1199,2673,2677,2709,2711,2712,2714,2715,2748,2750,2751
1200,2548,2585,2586,2591,2629,2587,2588,2589,2623,2624
1202,993,1296,1448,1523,1562,1600,989,991,992,1027
1203,935,936,937,971,972,973,974,975,1011,1012
1204,745,746,778,779,781,815,816,1737,2565,2566
1206,2804,2772,2767,2768,2765,2806,2807,2810,2811,2840
1207,367,403,405,478,560,786,787,823,824,825
1208,900,1130,901,902,938,940,1054,1245,1587,1625
1209,1501,1502,1503,1540,1541,1542,1543,1545,1578,1579
1210,2593,2679,2720,2553,2554,2555,2588,2589,2592,2630
1211,935,936,937,971,972,973,974,975,1011,1012
1212,793,341,379,795,870,1063,1064,1096,1098,1101
1213,720,756,757,794,798,377,413,414,415,416
1214,1133,2963,795,870,1019,1063,1064,1096,1098,1101
1215,263,341,379,529,566,570,2938,265,377,413
1216,598,560,655,692,563,21,54,215,2004,2947
1217,542,2958,277,278,279,505,508,389,391,426
1218,377,413,414,415,416,417,418,448,449,450
1220,597,599,633,634,636,670,671,672,707,710
1221,1626,867,1323,1361,1399,1438,1778,2650,1664,1740
1222,1813,1887,1889,1962,1966,2002,2374,2375,2412,2413
1223,2556,2557,2594,2595,2597,2638,2517,2519,2558,2561
1224,560,655,692,786,787,823,824,825,862,864
1225,930,1163,1547,900,927,929,965,966,967,970
1226,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
1227,786,787,823,824,825,862,864,788,789,790
1228,1133,2963,795,870,1019,1063,1064,1096,1098,1101
1229,120,122,157,119,154,156,123,158,162,163
1230,989,991,992,1027,1028,1029,1030,1031,1066,1067
1231,32,34,35,37,68,74,114,295,341,379
1232,341,379,342,378,380,377,413,414,415,416
1233,3004,939,976,977,978,1013,1015,1052,1053,1055
1234,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
1235,1737,901,902,938,940,968,1054,1083,1086,1122
1236,121,159,160,161,196,197,198,480,439,475
1237,32,34,35,37,68,74,114,2937,31,38
1238,527,564,567,603,604,607,608,640,641,642
1239,981,1626,1246,1284,1322,1360,1436,3004,831,867
1240,793,720,756,757,794,798,341,379,795,870
1242,330,331,369,406,408,442,444,514,3017,212
1243,989,991,992,1027,1028,1029,1030,1031,1066,1067
1244,1657,1695,1696,1697,1698,1735,1736,2001,2039,2041
1245,199,200,201,202,203,204,206,208,210,236
1246,793,1893,341,379,795,870,1063,1064,1096,1098
1247,259,113,146,148,149,181,184,186,220,221
1248,343,497,498,685,687,723,724,725,762,878
1249,46,622,654,656,657,658,661,53,88,89
1250,720,756,757,794,798,377,413,414,415,416
1252,935,936,937,971,972,973,974,975,1011,1012
1253,1160,1730,1768,1771,1772,1773,1774,1885,1921,1922
1254,118,120,122,157,2966,661,116,119,154,156
1255,1357,1464,1465,1466,1617,1619,1620,1621,1656,1659
1256,343,497,498,685,687,723,724,725,762,878
1257,1893,2799,2800,2801,2803,2805,2843,795,870,1063
1258,788,826,827,863,2565,2566,2646,3029,673,712
1259,993,1296,1448,1523,1562,1600,989,991,992,1027
1260,900,1130,901,902,938,940,1054,1245,1587,1625
1261,2483,2487,2523,2524,2525,2527,2562,2564,2602,1160
1262,793,829,1133,1893,2963,788,826,827,863,3029
1263,2124,2163,2950,3001,873,874,906,909,911,912
1264,341,379,795,870,1063,1064,1096,1098,1101,1102
1265,565,527,564,567,603,604,607,608,640,641
1266,2517,2519,2558,2561,2596,2477,2513,2514,2515,2516
1267,2551,2471,2472,2510,2511,2512,2550,2553,2554,2555
1268,2313,2124,2163,2201,2204,2237,2238,2239,2240,2241
1269,927,929,965,966,967,970,1195,968,1083,1086
1271,981,831,869,871,872,907,908,910,946,983
1272,524,445,481,482,484,520,521,522,556,558
1273,1669,2653,565,868,1020,1248,1286,1288,1325,1363
1274,524,445,481,482,484,520,521,522,556,558
1275,901,902,938,940,968,1054,1083,1086,1122,1124
1276,2004,2947,865,903,979,1016,1017,1093,1160,1730
1277,113,146,148,149,181,184,186,220,221,2957
1278,900,1130,901,902,938,940,1054,1245,1587,1625
1279,1179,989,991,992,1027,1028,1029,1030,1031,1066
1280,968,1083,1086,1122,1124,1156,1160,1730,1768,1771
1281,939,969,976,977,978,1001,1002,1003,1004,1005
1282,1657,1695,1696,1697,1698,1735,1736,2001,2039,2041
1283,527,564,567,603,604,607,608,640,641,642
1284,1657,1695,1696,1697,1698,1735,1736,2001,2039,2041
1285,1994,2482,2486,2528,883,1813,1887,1889,1962,1966
1286,793,341,379,795,870,1063,1064,1096,1098,1101
1287,2673,2677,2709,2711,2712,2714,2715,2748,2750,2751
1288,968,1083,1086,1122,1124,1156,1160,1730,1768,1771
1289,1129,1167,1168,1205,1206,1207,1243,1244,1435,1472
1290,1160,1730,1768,1771,1772,1773,1774,1885,1921,1922
1291,2483,2487,2523,2524,2525,2527,2562,2564,2602,1160
1292,2673,2677,2709,2711,2712,2714,2715,2748,2750,2751
1293,786,787,823,824,825,862,864,788,789,790
1294,720,756,757,794,798,377,413,414,415,416
1295,793,341,379,795,870,1063,1064,1096,1098,1101
1296,46,47,83,84,85,87,124,53,88,89
1297,295,341,379,788,826,827,863,3029,342,378
